"corpus_sha256","artifact_id","artifact_sha256","start_offset","end_offset","final_audit_record_id","coverage_status","notes"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_001","7477e79c19682a6ef18daecb7d6f609fc7b5f53c40258259d4ad5e55a08e1b6a","0","829","CHI_R4_AUDIT_00001","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_002","af9a845f4f5a96b92d5baba7ef59d875be6a10526e32c3967e091253ea73884e","829","1676","CHI_R4_AUDIT_00002","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_003","8aabc8ec4e769b9f4a4f8e9f2b2b11ae102e987dc687a2f56423625fffadfe2d","1676","2502","CHI_R4_AUDIT_00003","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_004","4e6605a88ec012c2b1c51d404e1e936b0a5e40895a24b27e9e64ad5b99aa6e10","2502","3208","CHI_R4_AUDIT_00004","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_005","fde24ee1cdd61a527e424500b407523578d566ef134151949ce883169cb2b756","3208","3962","CHI_R4_AUDIT_00005","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_006","14cd9460c3663300f16762865bff74b38f51fdd3e320dab9aec8fcbb78587326","3962","4725","CHI_R4_AUDIT_00006","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_007","bb278a8532037bc0b8410ef2571974792413bff4cdea53b22f932acc48d55cf8","4725","5437","CHI_R4_AUDIT_00007","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_008","f4ee74d8d5bbe0ee43e77cf37007e573c2f79ae48b555fe2adfd9e39e6a81b76","5437","6140","CHI_R4_AUDIT_00008","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_009","9f237e6b5f6711dac423c9a6c60e6a2f2a646007857b441753ece1db547f42ab","6140","6996","CHI_R4_AUDIT_00009","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_010","e08fac7700e3513ce1e6a546a422f0a7a0b84576aace3f86cd6007ba08105a20","6996","7762","CHI_R4_AUDIT_00010","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_011","8ea8589bc86fe1f08a3807d6f834e8d89793af25ab8e45a2f4d176842489ddbc","7762","8546","CHI_R4_AUDIT_00011","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_012","fd51afedcc5fee7982a67f444c4d4fb8b6d4c70c40435a33174ed01d00a8789b","8546","9381","CHI_R4_AUDIT_00012","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_013","74a91e1247500bc5c44c10791cc815f31236f6790b79122921173464139ffb87","9381","10791","CHI_R4_AUDIT_00013","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_014","8e6b901e02b056781a9de67a0c7bd258c6e07444f7bf08a6b9318d3d191f9f15","10791","12120","CHI_R4_AUDIT_00014","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_015","6355938ebd0091ee087559d899f516a576537ab978ffc7d0d7b151ea5778e74e","12120","13485","CHI_R4_AUDIT_00015","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_016","055ae3ceb19dc4753b048eef65fe5b3747bc0f6b7ccdf15fbdcd8ebb88c450b0","13485","14823","CHI_R4_AUDIT_00016","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_017","e34ca79b0d808669beee0194f6ea592dab1a5deb634896c7b5afd0db11258ee4","14823","16197","CHI_R4_AUDIT_00017","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_018","45ee2c8bce692d11ba6e857abeac5509353a57b54137ec0de4d76099da0464ff","16197","17472","CHI_R4_AUDIT_00018","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_019","29f9a2177ae49339cfb732fdd0111d936a6420e635c059cff4a0e95e4e05ba34","17472","18819","CHI_R4_AUDIT_00019","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_020","84f6d3de6a27951593fe15d24bd0878d13c6f68594fe3b30559ca539ea6d812f","18819","20157","CHI_R4_AUDIT_00020","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_021","94733afc05fa49acf145ec22116b90cea876837279474a0cf9ccf4dce4276ee4","20157","21441","CHI_R4_AUDIT_00021","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_022","a07a82af6fed8cf474278065c25363ac34b996c9607d5e9e96424ca695dab0bb","21441","22779","CHI_R4_AUDIT_00022","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_023","0d1954c063f4074616ed3b76e8a7952ed1d1640baa89024e7bfc9b831ca7975f","22779","24162","CHI_R4_AUDIT_00023","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_ASSET_024","cec621b9a618f8d1bc897c0cc25cc6a508f6cd73ea408232a0f9f2405982b5f9","24162","25581","CHI_R4_AUDIT_00024","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S001","3128744c39b673ca839fb9d6145d2c329000680bdb525979364d70ac4d70ac65","25581","30941","CHI_R4_AUDIT_00025","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S002","1cfeb10bf73a6b52db0e412990835179721d1bb4c3a6adf983bfe4d7d3e62658","30941","36196","CHI_R4_AUDIT_00026","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S003","ea6a0d67ca0618ef5fddf5cc9de5dbf5124661a5982a86a48d1f2b6d549afd1c","36196","41866","CHI_R4_AUDIT_00027","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S004","4bd8af7109140e2168d5dfdde70194e75a445097c7c824975a6fef2981685e67","41866","48084","CHI_R4_AUDIT_00028","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S005","ee7d97cf700b4c6b18e2b4689c4ba2ed92160782e935ab1b3545ffef5780fd66","48084","54612","CHI_R4_AUDIT_00029","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S006","7ea224bb72066112934ffe90a50f7c289cc59db1b4628a80db19bca4796faddb","54612","61834","CHI_R4_AUDIT_00030","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S007","e9e391bf22121e23814b9997630e5aa9acae6ca0e96a2c6adaa5c135ea3217c3","61834","68712","CHI_R4_AUDIT_00031","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S008","7cd6753e4c75c5e16f220f1479e1e3d4f14e414a271876bc03c7b16a67f4a6b1","68712","74776","CHI_R4_AUDIT_00032","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S009","6bce2aa8668f9889011b22f0988d0656438f153e772803f18014f1a74ed12218","74776","81863","CHI_R4_AUDIT_00033","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S010","d8a752f694a9b3be5dd788431fc3b234d5a6b0651dde4432b735c36768d3131a","81863","88173","CHI_R4_AUDIT_00034","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S011","b403d4bf09d07f956d80ee8db38856dc90355e3740ae9f32a8a32f8942e2a77a","88173","94501","CHI_R4_AUDIT_00035","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S012","6baf087f72c40dcc9de9590d3d14f1351b51c53bc123784662ffedfdee51bc80","94501","101945","CHI_R4_AUDIT_00036","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S013","139aad26e5849a3dd3ab5a4bf7ca29d08e463999c5841c0973ee052f20fddf1b","101945","110223","CHI_R4_AUDIT_00037","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S014","d4fabc1928ce39693ba7a7d8234685036dd4c38b2cda3b4af900628942af6283","110223","118003","CHI_R4_AUDIT_00038","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S015","192f0b5d91859d0830a01027c1167c339aa67ae043522580bc9ee4b5ac556d77","118003","123044","CHI_R4_AUDIT_00039","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S016","e9e25bad006dcc61f3633f768d2de6c98c5f393aa9cd02320318d4010194aedf","123044","128277","CHI_R4_AUDIT_00040","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S017","58664b1c4be869b0df9049be75ba3cd8b3e166ef546d59484af5e5beeeb1c08c","128277","135460","CHI_R4_AUDIT_00041","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S018","ec70a9bbc77d5456d5cd24b8f9bd2a8cd044c88bd63e6c04fe35c8bf6cf87ccc","135460","142722","CHI_R4_AUDIT_00042","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S019","b64e3ac9033b46f6f088891b7eacbada0212dc54867770023cfc3939782f1860","142722","149542","CHI_R4_AUDIT_00043","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S020","8d162b67a844ef29652806f6af8648f16c2dd53413bcf3a20d96f36bf2c43cff","149542","155819","CHI_R4_AUDIT_00044","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S021","3b20fb9045d293ca5f61ec462ad6f432d53ac551d7eed145a34f8205d184297c","155819","163272","CHI_R4_AUDIT_00045","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S022","670382b5a696c37ee8e5165d6d5cd161d0b8486c96de6dbec4542c17ccf48b2a","163272","169216","CHI_R4_AUDIT_00046","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S023","ec55961bd50177b9012e6455819f38a2d65f4a2be25b90e557533cfd2c966318","169216","175889","CHI_R4_AUDIT_00047","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S024","8efbc191cbf6709576f72a491214715f74d2e3710584de5ccd23c3f048c82e83","175889","181956","CHI_R4_AUDIT_00048","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S025","0153f2ea009e02501867ff1ba7fc266709192e9c9dc3bfc5e24c1404ff966d6d","181956","189114","CHI_R4_AUDIT_00049","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S026","43e6585389536d7bd094e17ef30f8fae69f7ffe433125ffbf2c5f56deafc36ad","189114","195835","CHI_R4_AUDIT_00050","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S027","fd4e9a6bcadd84fdd3361d0b30e192bf1b951f21c4e1a673a197cc7f228f07de","195835","203408","CHI_R4_AUDIT_00051","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S028","5abc62fceda91e1754058b47d37f1c0d17c869e1e6c77266b8bc8106231538cf","203408","211659","CHI_R4_AUDIT_00052","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S029","738dcd1879618fa37df05e2a4cf232bd9ff0aea07f2319710a854bfad6d83e5d","211659","220051","CHI_R4_AUDIT_00053","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S030","49e84a2185d003b06340b5ac4b7014091f20868cc710fe98e1cb8b3ba6e6705c","220051","226112","CHI_R4_AUDIT_00054","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S031","00b159157dbf2cc946469f599852072684dfa9a07019e8c82d1296f2ecad4afa","226112","233037","CHI_R4_AUDIT_00055","covered","UTF-8 byte range; no gap or overlap"
